Part                         ,Quantity  
NEMA17 Motors (37mm)          ,2         
NEMA17 Motors (48mm)          ,2         
Bearing (14mm OD, shaft ID)   ,2         
NEMA17 Shaft Collar           ,2         
USB C Power Delivery Module   ,1         
USB C Cable and Outlet Brick  ,1         
A4988 Stepper Drivers         ,2         
8x8 WS2812B LED Matrix        ,6         
ESP32C3 MakerGo SuperMini     ,2         
XIAO RP2040                   ,1         
Push Buttons/Limit Switches   ,4         
Breadboards                   ,2         
Breadboards (but fancier)     ,1         
Jumper Wires                  ,Abundance 
Hot Glue                      ,Abundance 
